time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/std
2,116736,4.0,0.37282782999999997,237568,"continuous",266,15,0.19189453125,0.9681179411709309,0.013162319,0.0003113419806737738,0.002221655333414674,0.2,-3.661534448713064,-0.0011552487827430013,0.0003,560,0.8836215138435364
3,118784,4.0,0.36692308000000007,239616,"continuous",266,23,0.220068359375,0.9751770552247763,0.014365392,0.0002442424831016865,-0.005452082492411137,0.2,-3.6570890828967095,0.0009756684608873911,0.0003,570,0.8904456496238708
4,120832,4.0,0.37176058999999995,241664,"continuous",265,30,0.223095703125,0.933718129992485,0.019717932,0.0007514456647527368,-0.014928601682186127,0.2,-3.682558401674032,-0.0068627293658209965,0.0003,580,0.9010739326477051
5,122880,4.0,0.37311254,243712,"continuous",265,38,0.163134765625,0.9726602956652641,0.020337667,0.0002675370015708722,-0.01904602162539959,0.2,-3.6957941092550755,0.0035284533238154835,0.0003,590,0.9068304896354675
1,124928,4.0,0.36915637999999995,256000,"continuous",269,7,0.213427734375,0.9671096913516521,0.017011713,0.000317614349602735,0.0006019772263243794,0.2,-3.686344736814499,0.0032266346832329875,0.0003,600,0.9029800295829773
2,126976,4.0,0.37179576,258048,"continuous",251,16,0.160791015625,0.9724906962364912,0.02260999,0.00027204987504063637,-0.018350476399064064,0.2,-3.650399064272642,0.0005100446556753013,0.0003,610,0.8916625380516052
3,129024,4.0,0.37084748999999995,260096,"continuous",249,24,0.2044921875,0.9870902830734849,0.017675862,0.0001577595519790975,-0.010704772546887398,0.2,-3.6004876740276814,-0.002219278116535861,0.0003,620,0.885545551776886
4,131072,4.0,0.37127085,262144,"continuous",250,32,0.159228515625,0.9592678397893906,0.01731927,0.0004071225314788762,0.014054808765649796,0.2,-3.5811866752803327,0.0010956849975627847,0.0003,630,0.8815267086029053
5,133120,4.0,0.3730080700000001,264192,"continuous",239,42,0.169580078125,0.9584875032305717,0.012562708,0.0004727424793614432,-0.01833375357091427,0.2,-3.576707421243191,0.00031930602272041143,0.0003,640,0.8891134858131409
1,135168,4.0,0.3745636800000001,276480,"continuous",250,8,0.217626953125,0.977060379460454,0.026338292,0.00031431266019694705,-0.0123636145144701,0.2,-3.5672653511166574,0.006455561946495436,0.0003,650,0.8802051544189453
2,137216,4.0,0.36859921,278528,"continuous",247,16,0.25126953125,0.9933436382561922,0.025168335,6.289749712848903e-05,0.06211001053452492,0.2,-3.550348973274231,-0.014404728324734606,0.0003,660,0.8850062489509583
3,139264,4.0,0.37388898,280576,"continuous",246,24,0.16162109375,0.9729065485298634,0.01857403,0.00030999361484447264,-0.014963055029511452,0.2,-3.578482303023338,0.0035643915442051368,0.0003,670,0.9029935002326965
4,141312,4.0,0.37316466000000004,282624,"continuous",247,33,0.15703125,0.9783176798373461,0.013819904,0.00020870569467561494,-0.007567253895103931,0.2,-3.5822402223944665,0.0021040255764091854,0.0003,680,0.8950422406196594
5,143360,4.0,0.37247816,284672,"continuous",249,41,0.23193359375,0.9385823905467987,0.022885628,0.0006238277830561856,-0.007869425229728222,0.2,-3.565656581521034,-0.006411506640870357,0.0003,690,0.8930697441101074
1,145408,3.83,0.33332811000000007,296960,"continuous",289,7,0.19521484375,0.9605134502053261,0.016767062,0.000399630787980243,0.0056902747601270676,0.2,-3.5404943495988848,-0.0018135325160983484,0.0003,700,0.8822274804115295
2,147456,3.79,0.32639193,299008,"continuous",283,14,0.138232421875,0.48954468965530396,0.014806693,0.005501238354918314,-0.005909185390919447,0.2,-3.52317028939724,-0.0009473255282500759,0.0003,710,0.8836643695831299
3,149504,3.68,0.31012571000000005,301056,"continuous",285,21,0.14853515625,0.485747754573822,0.012784749,0.005727244284935295,-0.0012036645784974098,0.2,-3.520207130163908,0.0028645600221352653,0.0003,720,0.8818547129631042
4,151552,3.73,0.31841165,303104,"continuous",287,28,0.1568359375,0.4769970178604126,0.0147715695,0.006014332228369312,-0.006872451864182949,0.2,-3.5231727749109267,0.004416093559848377,0.0003,730,0.8893964886665344
5,153600,3.78,0.3243681299999999,305152,"continuous",287,35,0.133349609375,0.5139724016189575,0.011198447,0.005383102410269203,0.024296732619404793,0.2,-3.527292276918888,0.0007066797952575143,0.0003,740,0.8849528431892395
1,155648,4.0,0.36963250999999997,317440,"continuous",255,8,0.104833984375,0.5475849807262421,0.009704772,0.005135206378326984,-0.020274197682738304,0.2,-3.5179813899099828,0.002090649015735835,0.0003,750,0.880892813205719
2,157696,4.0,0.3723476599999999,319488,"continuous",256,15,0.1111328125,0.899761974811554,0.0059698187,0.00038177320939780657,0.015466724522411823,0.2,-3.5082102179527284,5.4494077630806714e-05,0.0003,760,0.8802760243415833
3,159744,3.98,0.36724402000000006,321536,"continuous",258,23,0.16171875,0.9780078567564487,0.011969198,0.0002041758056449794,0.049142688512802124,0.2,-3.5117059320211412,0.004583268438000232,0.0003,770,0.8843295574188232
4,161792,4.01,0.37345014000000004,323584,"continuous",255,32,0.197119140625,0.9556156471371651,0.018322807,0.00043440452877803183,-0.01615813933312893,0.2,-3.511536382138729,-0.0004194720480882097,0.0003,780,0.8819869160652161
5,163840,4.0,0.3711460000000001,325632,"continuous",255,40,0.21259765625,0.9925261526368558,0.016921014,6.854971644827401e-05,-0.03437359258532524,0.2,-3.49386485517025,-0.008586038428620667,0.0003,790,0.881425678730011
1,165888,4.0,0.37428801,337920,"continuous",255,8,0.1857421875,0.9586238898336887,0.017563086,0.00045557401130622564,0.015399053692817688,0.2,-3.4960125006735323,0.0014979806859628298,0.0003,800,0.8930308222770691
2,167936,4.0,0.37089586000000013,339968,"continuous",260,15,0.140234375,0.9743501972407103,0.012819776,0.0002629400420573802,-0.015125654637813568,0.2,-3.5080919273197653,0.0038674011986586264,0.0003,810,0.8920404314994812
3,169984,4.0,0.3743193399999999,342016,"continuous",260,23,0.165771484375,0.9676132351160049,0.007133393,0.0003970712588923675,-0.013912607915699482,0.2,-3.507723508030176,0.002582082537992392,0.0003,820,0.8963597416877747
4,172032,4.0,0.37335113999999997,344064,"continuous",260,31,0.213134765625,0.9924342385493219,0.02144165,6.819407808364986e-05,0.013538726605474949,0.2,-3.506790268421173,-0.00505764328117948,0.0003,830,0.8971684575080872
5,174080,4.0,0.37547338,346112,"continuous",259,39,0.163671875,0.9787652902305126,0.009756158,0.00020560623747911677,-0.009213633835315704,0.2,-3.4970941208302975,0.005532620620942908,0.0003,840,0.9002283215522766
1,176128,4.0,0.37326958,358400,"continuous",260,7,0.1453125,0.9558856412768364,0.007206145,0.0004892364527322001,0.0034319304395467043,0.2,-3.486457869410515,0.002707013688632287,0.0003,850,0.896941602230072
2,178176,4.0,0.37381555999999994,360448,"continuous",252,16,0.180419921875,0.9838467705994844,0.016174186,0.00016329404216648414,-0.029329195618629456,0.2,-3.4553355783224107,0.0017057109114830382,0.0003,860,0.8813561797142029
3,180224,4.0,0.37295685999999995,362496,"continuous",253,24,0.25234375,0.9932093960233033,0.026270524,9.005547079539155e-05,0.010939210653305054,0.2,-3.4517582692205906,-0.007482100490597077,0.0003,870,0.889788806438446
4,182272,4.0,0.37382167999999993,364544,"continuous",253,32,0.176611328125,0.959523182362318,0.011249729,0.00041231430222268275,-0.008618013933300972,0.2,-3.473351690918207,-0.0011685680656228215,0.0003,880,0.8987180590629578
5,184320,4.0,0.37091878,366592,"continuous",255,40,0.16162109375,0.9867033129557967,0.009683884,0.00011972662446666505,0.0017816161271184683,0.2,-3.490717698633671,0.0014362681526108646,0.0003,890,0.9057860374450684
