custom/pamdp_timestep,custom/agent_type,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,
108544,discrete,4.01,0.35415231,302,4,27,59392,0.46152073,0.268310547,0.2,-0.049215477,0.5740900933742520,0.0003,-0.047586612,280,-0.055339185,0.00449722,
110592,discrete,4,0.35517002,292,5,35,61440,0.002760096,0.011621094,0.2,-0.025455365,0.8914546594023710,0.0003,0.00865292,290,-0.00483405,0.000866132,
112640,continuous,3.95,0.33217522,295,1,6,53248,0.014911478,0.16484375,0.2,-4.024858102,0.9529832564294340,0.0003,-0.029747179,250,-0.027505854,0.000397361,0.9256113171577450
114688,continuous,3.93,0.33,284,2,14,55296,0.012342032,0.171386719,0.2,-4.010383257,0.7138932943344120,0.0003,-0.013042782,260,-0.013245945,0.002961306,0.926366389
116736,continuous,3.94,0.31803675,284,3,21,57344,0.011647016,0.134082031,0.2,-4.018290214,0.6643423438072210,0.0003,0.016946956515312200,270,-0.010574792,0.003635326,0.9320905804634090
118784,continuous,3.94,0.33151976,284,4,28,59392,0.019456096,0.134033203,0.2,-4.026128614,0.7041918635368350,0.0003,0.027903474867343900,280,-0.0098033,0.003183034,0.933267355
120832,continuous,3.92,0.33,285,5,35,61440,0.013656477,0.115869141,0.2,-4.008675045,0.7090590596199040,0.0003,-0.010336967,290,-0.00473389,0.003118576,0.9204778671264650
122880,discrete,3.96,0.35,290,1,7,63488,0.02287821,0.08125,0.2,-0.138476446,0.9656896218657490,0.0003,-0.02365851,300,0.009122277,0.000277787,
124928,discrete,3.99,0.37,273,2,14,65536,0.09542273,0.037646484,0.2,-0.019878048,0.7513458430767060,0.0003,-0.000675896,310,-0.023781717,0.002610274,
126976,discrete,4,0.36840529,268,3,22,67584,0.00061796,0.001855469,0.2,-0.005453417,0.9652461744844910,0.0003,-0.00032853,320,-0.002640318,0.000288445,
129024,discrete,4,0.37,266,4,30,69632,0.000192991,0.000830078,0.2,-0.003813579,0.9876523995772000,0.0003,-0.023063054,330,-0.001120494,0.000110845,
