custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,1.0,-6.7913521,116736,225280,,,6,"discrete",3,994,0.0,0.0003,-1.1920928955078125e-07,0.2,0.11789344251155853,0.22384152351878583,560,-0.0027234500739723444,0.0,1.3154931366443635e-09
19,"PPO-PPO",1.0,-6.826621580000002,118784,233472,1,"Goal-v0",1,"discrete",1,1214,0.0,0.0003,0.0,0.2,0.07857608795166016,0.2110122678335756,570,-0.0027234500739723444,0.0,-5.056790541857481e-10
,,1.0,-6.783007170000001,120832,235520,,,3,"discrete",2,1132,0.0,0.0003,-1.1920928955078125e-07,0.2,0.09842876344919205,0.23487249277532102,580,-0.0027234500739723444,0.0,4.074536263942718e-11
,,1.0,-6.8491989,122880,237568,,,5,"discrete",3,1065,0.00012580943,0.0003,0.0,0.2,0.09093976020812988,0.23104456937871873,590,-0.00142927133529156,0.000439453125,-8.638907202112023e-05
20,"PPO-PPO",1.0,-6.9189088000000005,124928,245760,1,"Goal-v0",1,"discrete",1,1141,0.0,0.0003,0.0,0.2,0.10561808198690414,0.24629008062183858,600,-0.001326536020860658,0.0,-3.3178366720676423e-10
,,1.0,-6.908249959999999,126976,247808,,,4,"discrete",2,971,0.0,0.0003,0.0,0.2,0.10400699079036713,0.2235767190810293,610,-0.0013265355955809355,0.0,1.0622898116707802e-10
,,1.0,-6.84715729,129024,249856,,,6,"discrete",3,1000,0.0,0.0003,0.0,0.2,0.1198287159204483,0.2389421767555177,620,-0.0013265355955809355,0.0,6.955815479159355e-10
21,"PPO-PPO",1.0,-6.748427899999999,131072,258048,1,"Goal-v0",1,"discrete",1,1214,0.0,0.0003,0.0,0.2,0.10955780744552612,0.2331967239268124,630,-0.0013265355955809355,0.0,8.207280188798904e-10
,,1.0,-6.86000281,133120,260096,,,3,"discrete",2,1100,0.0,0.0003,1.1920928955078125e-07,0.2,0.12255600094795227,0.23751289565116168,640,-0.0013265355955809355,0.0,1.4086253941059112e-09
,,1.0,-6.84437371,135168,262144,,,5,"discrete",3,1074,0.0,0.0003,-1.1920928955078125e-07,0.2,0.12841200828552246,0.22603478301316499,650,-0.0013265355955809355,0.0,-1.5235855244100094e-09
22,"PPO-PPO",1.0,-6.731300999999999,137216,270336,1,"Goal-v0",1,"discrete",1,1194,0.0,0.0003,0.0,0.2,0.12412043660879135,0.23966140770353378,660,-0.0013265355955809355,0.0,-3.3469405025243757e-11
,,1.0,-6.872023219999997,139264,272384,,,3,"discrete",2,1122,0.0,0.0003,1.1920928955078125e-07,0.2,0.1369979828596115,0.2524560601450503,670,-0.0013265355955809355,0.0,-1.331500243395567e-09
,,1.0,-6.8733349,141312,274432,,,5,"discrete",3,1091,0.00020048354,0.0003,0.0,0.2,0.15057268738746643,0.24312224625609816,680,-0.0005412236057964037,0.000439453125,-5.791880976175889e-05
23,"PPO-PPO",1.0,-6.950806489999999,143360,282624,1,"Goal-v0",1,"discrete",1,1167,0.0,0.0003,5.960464477539063e-08,0.2,0.10654180496931076,0.24645820218138398,690,-0.000515939638898999,0.0,1.535227056592703e-10
,,1.0,-6.83064529,145408,284672,,,3,"discrete",2,1092,0.0,0.0003,0.0,0.2,0.14159010350704193,0.2639683363493532,700,-0.0005159396096132696,0.0,5.820766091346741e-11
,,1.0,-6.819870409999998,147456,286720,,,5,"discrete",3,1039,0.0,0.0003,-1.1920928955078125e-07,0.2,0.10472234338521957,0.2488314424874261,710,-0.0005159396096132696,0.0,-2.954038791358471e-10
24,"PPO-PPO",1.0,-6.8396302800000015,149504,294912,1,"Goal-v0",1,"discrete",1,1085,0.0,0.0003,0.0,0.2,0.106963612139225,0.2524310770910233,720,-0.0005159396096132696,0.0,-1.4391844160854817e-09
,,1.0,-6.797215039999998,151552,296960,,,3,"discrete",2,1053,0.0,0.0003,0.0,0.2,0.1585870385169983,0.25105225418228655,730,-0.0005159396096132696,0.0,6.45741238258779e-10
,,1.0,-6.809464829999999,153600,299008,,,6,"discrete",3,1003,0.0,0.0003,0.0,0.2,0.11454019695520401,0.24167703548446298,740,-0.0005159396096132696,0.0,3.7834979593753815e-10
25,"PPO-PPO",1.0,-6.773344390000001,155648,307200,1,"Goal-v0",1,"discrete",1,1216,0.0,0.0003,-1.1920928955078125e-07,0.2,0.14195559918880463,0.23404012774117292,750,-0.0005159392449058942,0.0,-6.984919309616089e-10
,,1.0,-6.727623219999999,157696,309248,,,3,"discrete",2,1103,0.0,0.0003,0.0,0.2,0.1076039969921112,0.2483021300751716,760,-0.0005159368438398815,0.0,2.881279215216637e-10
,,1.0,-6.798879110000001,159744,311296,,,5,"discrete",3,1058,0.0,0.0003,1.1920928955078125e-07,0.2,0.09769592434167862,0.2663694038055837,770,-0.000515939233082463,0.0,8.731149137020111e-10
26,"PPO-PPO",1.0,-6.84882053,161792,319488,1,"Goal-v0",2,"discrete",1,744,0.0,0.0003,0.0,0.2,0.12291242182254791,0.25890819954220207,780,-0.0005159459531569154,0.0,1.017178874462843e-09
,,1.0,-6.83118746,163840,321536,,,4,"discrete",2,856,0.0,0.0003,0.0,0.2,0.19738152623176575,0.27581609645858407,790,-0.0005159483922398067,0.0,1.1319571058265864e-09
,,1.0,-6.835843669999999,165888,323584,,,7,"discrete",3,811,0.0,0.0003,0.0,0.2,0.15008766949176788,0.26484788409434257,800,-0.0005159415784873999,0.0,7.632479537278414e-10
