time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,15,0.22494444999999996,5,"Platform-v0","PPO-PPO",32768,5.09,369,1,"discrete",61440,0.033662286,0.179833984375,0.0003,-0.059966783970594406,0.2,150,-0.2153330748900771,0.5225043296813965,-0.03281001294963062,0.002966193759493763
1,16,0.23763683,5,"Platform-v0","PPO-PPO",34816,4.97,342,1,"discrete",65536,0.021678999,0.114990234375,0.0003,-0.02427780069410801,0.2,160,-0.17181671410799026,0.6072738468647003,-0.026023526837525422,0.002769031693242141
1,17,0.25959447,6,"Platform-v0","PPO-PPO",36864,5.07,312,1,"discrete",69632,0.0055676135,0.066357421875,0.0003,-0.002303152345120907,0.2,170,-0.14845796974841505,0.6932031214237213,-0.01398194747744128,0.0022204249558853916
1,18,0.28131424,6,"Platform-v0","PPO-PPO",38912,5.11,299,1,"discrete",73728,0.0070721665,0.049462890625,0.0003,-0.0032841400243341923,0.2,180,-0.12441228542011232,0.7343261241912842,-0.009111212809511927,0.0019930812037273426
1,19,0.27444300999999993,6,"Platform-v0","PPO-PPO",40960,5.03,303,1,"discrete",77824,0.0017931754,0.031005859375,0.0003,-0.0047461409121751785,0.2,190,-0.1166906776605174,0.7733956724405289,-0.0022343917240505106,0.001756928332906682
1,20,0.28342515,6,"Platform-v0","PPO-PPO",43008,5.06,299,1,"discrete",81920,0.0008560438,0.0185546875,0.0003,-0.005193958058953285,0.2,200,-0.10213368277763948,0.7340929806232452,-0.0014891909770085477,0.0020658966379414776
1,21,0.2774843,7,"Platform-v0","PPO-PPO",45056,4.78,285,1,"discrete",86016,0.0008422518,0.019189453125,0.0003,-0.0011944831348955631,0.2,210,-0.0948739236628171,0.8197667002677917,-0.0009175687111564912,0.0014038434610483819
1,22,0.28326921,7,"Platform-v0","PPO-PPO",47104,4.91,270,1,"discrete",90112,0.0015853869,0.020654296875,0.0003,0.002258581342175603,0.2,220,-0.09584527758415788,0.7610768675804138,-0.0013206132527557202,0.0016805112865768024
1,23,0.2822311,7,"Platform-v0","PPO-PPO",49152,4.71,267,1,"discrete",94208,0.002776299,0.016259765625,0.0003,-0.0001552028115838766,0.2,230,-0.08973865249427035,0.7652143687009811,-0.0015038152610941324,0.0017961790177650982
1,24,0.29894972,7,"Platform-v0","PPO-PPO",51200,4.76,271,1,"discrete",98304,0.0015599341,0.02548828125,0.0003,0.0012734311167150736,0.2,240,-0.09109045913792216,0.7665968090295792,-0.0036345822707517074,0.0017115391556217219
1,25,0.28756108,7,"Platform-v0","PPO-PPO",53248,4.66,266,1,"discrete",102400,0.0014213765,0.02783203125,0.0003,0.005160744301974773,0.2,250,-0.08913195005152375,0.7869066745042801,-0.0005938795802649111,0.0016935991934587946
1,26,0.29443430000000004,7,"Platform-v0","PPO-PPO",55296,4.47,264,1,"discrete",106496,0.0023161778,0.026123046875,0.0003,-0.008616942912340164,0.2,260,-0.08860135654686019,0.7910355031490326,-0.0021322994653019123,0.0014653319531134912
1,27,0.30324621999999996,7,"Platform-v0","PPO-PPO",57344,4.46,262,1,"discrete",110592,0.002418846,0.027197265625,0.0003,-0.009067144244909286,0.2,270,-0.07196363116963767,0.7654103487730026,-0.0017621286810026505,0.0016852257804202964
1,28,0.30655674,7,"Platform-v0","PPO-PPO",59392,4.55,264,1,"discrete",114688,0.004980564,0.027880859375,0.0003,0.005659096874296665,0.2,280,-0.07166195526369848,0.812759280204773,-0.002728878639754839,0.001426073601578537
1,29,0.31175656,7,"Platform-v0","PPO-PPO",61440,4.69,260,1,"discrete",118784,0.0017820209,0.026123046875,0.0003,-0.009234710596501827,0.2,290,-0.08031015679007396,0.7642044723033905,0.0012102339082048275,0.0017517920172394953
1,30,0.31899303999999995,8,"Platform-v0","PPO-PPO",63488,4.59,250,1,"discrete",122880,0.0018824404,0.03037109375,0.0003,-0.004234310705214739,0.2,300,-0.09108018033439294,0.8074982762336731,-0.0027973301519523376,0.0013695894258489716
1,31,0.31567758,7,"Platform-v0","PPO-PPO",65536,4.59,261,1,"discrete",126976,0.0017949045,0.0330078125,0.0003,-0.005296102724969387,0.2,310,-0.09254233806277626,0.7696195393800735,0.0021286075323587285,0.0016796714984593565
1,32,0.30896372,7,"Platform-v0","PPO-PPO",67584,4.6,271,1,"discrete",131072,0.0067169443,0.048828125,0.0003,-0.0030172765254974365,0.2,320,-0.08472869484685361,0.8130104541778564,0.0005689881727448665,0.0013527084276574897
1,33,0.32102492999999993,8,"Platform-v0","PPO-PPO",69632,4.55,247,1,"discrete",135168,0.0017558713,0.026318359375,0.0003,0.008006931282579899,0.2,330,-0.08622022973722779,0.780598983168602,0.0007235832556034439,0.0015122253384106444
1,34,0.31370741,7,"Platform-v0","PPO-PPO",71680,4.65,266,1,"discrete",139264,0.00686067,0.03349609375,0.0003,-0.01684957556426525,0.2,340,-0.07823807336390018,0.8025220185518265,0.0023805647389963267,0.001393074133193295
1,35,0.32314683,7,"Platform-v0","PPO-PPO",73728,4.68,277,1,"discrete",143360,0.0023277826,0.02255859375,0.0003,0.0034817089326679707,0.2,350,-0.07671241505304352,0.7548294961452484,-0.0012572647858178243,0.0016287252632537275
1,36,0.32771433,7,"Platform-v0","PPO-PPO",75776,4.79,278,1,"discrete",147456,0.004102622,0.023486328125,0.0003,-0.013105309568345547,0.2,360,-0.06886939409305341,0.8050056546926498,0.00204938436854718,0.0014796510964515618
1,37,0.32281854000000004,7,"Platform-v0","PPO-PPO",77824,4.61,279,1,"discrete",151552,0.0068891644,0.037451171875,0.0003,-0.007929104380309582,0.2,370,-0.06997779353987425,0.7918108403682709,0.005357019123039208,0.0012722436527837998
1,38,0.33076052000000006,7,"Platform-v0","PPO-PPO",79872,4.57,276,1,"discrete",155648,0.0030717517,0.028564453125,0.0003,0.00426138611510396,0.2,380,-0.07403823947242927,0.8069668859243393,0.003401995776221156,0.0013996301024235436
1,39,0.32253099999999996,7,"Platform-v0","PPO-PPO",81920,4.51,273,1,"discrete",159744,0.0064928215,0.027490234375,0.0003,-0.0023334878496825695,0.2,390,-0.06619408662663773,0.769408792257309,0.002986689410317922,0.001690118269470986
1,40,0.32615763999999997,7,"Platform-v0","PPO-PPO",83968,4.73,274,1,"discrete",163840,0.0019637616,0.022021484375,0.0003,-0.004906090442091227,0.2,400,-0.06821912864106708,0.8056803792715073,0.0018921792798209935,0.0014441892048125738
1,41,0.32961158999999995,7,"Platform-v0","PPO-PPO",86016,4.65,274,1,"discrete",167936,0.006251567,0.02490234375,0.0003,0.03176998719573021,0.2,410,-0.06227188597549684,0.8423019796609879,0.003379701521771494,0.0010853604516341876
1,42,0.3316213000000001,7,"Platform-v0","PPO-PPO",88064,4.72,273,1,"discrete",172032,0.0013948436,0.022607421875,0.0003,-0.009754154831171036,0.2,420,-0.061097187938867134,0.8257924765348434,0.00601169954315992,0.0013284391005072393
1,43,0.33209825000000004,7,"Platform-v0","PPO-PPO",90112,4.75,260,1,"discrete",176128,0.002227868,0.02109375,0.0003,0.019318459555506706,0.2,430,-0.0601347342657391,0.8038199692964554,-0.0008864133211318404,0.0014769847335628582
1,44,0.32786802000000004,7,"Platform-v0","PPO-PPO",92160,4.78,264,1,"discrete",180224,0.002885259,0.032080078125,0.0003,0.013046609237790108,0.2,440,-0.07184000800480135,0.8098080605268478,0.00470198081820854,0.0014587437301088358
1,45,0.33304485,7,"Platform-v0","PPO-PPO",94208,4.72,258,1,"discrete",184320,0.005802789,0.041650390625,0.0003,0.013176591135561466,0.2,450,-0.0769358447752893,0.7914571762084961,2.162843884434551e-06,0.00154837261470675
1,46,0.33570954999999997,7,"Platform-v0","PPO-PPO",96256,4.68,268,1,"discrete",188416,0.003516499,0.0314453125,0.0003,0.00840712245553732,0.2,460,-0.06940343318856321,0.7967165112495422,-0.0010177983975154347,0.0015857110636716242
1,47,0.32893769999999994,7,"Platform-v0","PPO-PPO",98304,4.4,259,1,"discrete",192512,0.004624836,0.023193359375,0.0003,0.007441111374646425,0.2,470,-0.06280209254473448,0.8306326419115067,0.0008882118239853298,0.0013222558694906184
1,48,0.33088638,8,"Platform-v0","PPO-PPO",100352,4.48,246,1,"discrete",196608,0.0016691103,0.026171875,0.0003,0.010870395228266716,0.2,480,-0.0630200571322348,0.8292291015386581,0.0033950651974009815,0.0010965311473228212
