time/total_timesteps,custom/cycle,rollout/ep_rew_mean,time/iterations,custom/pamdp_timestep,custom/seed,time/time_elapsed,custom/agent_name,time/fps,custom/agent_type,custom/env,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/loss
32768,15,-8.510201209999998,1,63488,1,3,"PPO-PPO",675,"continuous","Goal-v0",1.2,-5.561307288706303,0.5939262211322784,150,0.011184663,0.9696469902992249,-0.008690690345247276,0.0003,0.2,6.1331189967691895,0.14462890625,4.163265228271484
34816,16,-8.671985320000001,1,67584,1,3,"PPO-PPO",659,"continuous","Goal-v0",1.2,-5.5512563526630405,0.5956968069076538,160,0.016036645,0.9697510004043579,-0.007793673184642103,0.0003,0.2,6.14364114254713,0.188330078125,4.472269058227539
36864,17,-8.380290689999999,1,71680,1,2,"PPO-PPO",706,"continuous","Goal-v0",1.17,-5.528683666884899,0.596455842256546,170,0.011270034,0.9584179520606995,-0.006862053863005713,0.0003,0.2,6.142384021729231,0.11513671875,2.7232251167297363
38912,18,-8.32798783,1,75776,1,3,"PPO-PPO",666,"continuous","Goal-v0",1.21,-5.493313243985176,0.5583593547344208,180,0.011223268,0.9546493291854858,-0.005008047487353906,0.0003,0.2,6.171927018091083,0.16201171875,3.236651659011841
40960,19,-7.763272990000001,1,79872,1,3,"PPO-PPO",609,"continuous","Goal-v0",1.21,-5.490723127126694,0.5572876930236816,190,0.014176766,0.9555256962776184,-0.008552479677746305,0.0003,0.2,7.037359857186675,0.16162109375,3.60426664352417
43008,20,-8.221054039999999,1,83968,1,3,"PPO-PPO",633,"continuous","Goal-v0",1.15,-5.484574316442012,0.5360188782215118,200,0.011393912,0.9532208442687988,-0.009997389427007874,0.0003,0.2,7.617610322684049,0.141796875,2.3841049671173096
45056,21,-7.210654179999999,1,88064,1,3,"PPO-PPO",626,"continuous","Goal-v0",1.18,-5.474670046567917,0.5180492401123047,210,0.011351799,0.9487366676330566,-0.007925808548316126,0.0003,0.2,8.189046049118042,0.147509765625,4.6106367111206055
47104,22,-8.041710800000002,1,92160,1,3,"PPO-PPO",602,"continuous","Goal-v0",1.21,-5.438429000973701,0.4482024312019348,220,0.016893823,0.9384065866470337,-0.00673838820803212,0.0003,0.2,10.802308716624974,0.17041015625,4.3101959228515625
49152,23,-8.54964732,1,96256,1,3,"PPO-PPO",631,"continuous","Goal-v0",1.19,-5.406109434366226,0.41721105575561523,230,0.0133553445,0.9328087568283081,-0.006298464495921507,0.0003,0.2,11.92969124019146,0.14794921875,4.357646942138672
51200,24,-8.71285351,1,100352,1,3,"PPO-PPO",623,"continuous","Goal-v0",1.27,-5.389141684770584,0.37869155406951904,240,0.008539295,0.9298846125602722,-0.004951130969857331,0.0003,0.2,17.57923096343875,0.111083984375,1.4787095785140991
