custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
,,,0.14151492999999996,22528,"discrete",2,3.9,611,38912,,6,0.2,0.44192755222320557,0.07236328125,-0.017026212067867162,100,-0.006356469355523586,0.009272855,0.0003,0.0015981990401087386,-0.25684775090776385
,,,0.15686773,24576,"discrete",3,4.27,593,40960,,10,0.2,0.3469911217689514,0.116357421875,-0.02268712488730671,110,-0.025559138506650925,0.008165276,0.0003,0.00224256392193638,-0.2738615775015205
"Platform-v0","PPO-PPO",1,0.17379749999999997,26624,"discrete",1,3.98,530,49152,4,3,0.2,0.2681618332862854,0.153369140625,-0.025717583525693043,120,-0.021609827876091003,0.011314891,0.0003,0.0028762687325070146,-0.26560385380871593
,,,0.20590429999999998,28672,"discrete",2,4.64,466,51200,,8,0.2,0.31178295612335205,0.2265625,-0.036692292196676135,130,-0.026983657851815224,0.016721496,0.0003,0.0036418874427909032,-0.3068407251499593
,,,0.22187685999999998,30720,"discrete",3,4.71,428,53248,,14,0.2,0.4472716450691223,0.199658203125,-0.039582479308592156,140,-0.0440305657684803,0.031632453,0.0003,0.003704544442007318,-0.2644924020860344
"Platform-v0","PPO-PPO",1,0.24145539000000002,32768,"discrete",1,4.81,353,61440,5,5,0.2,0.518450140953064,0.10341796875,-0.02587209268240258,150,-0.017515113577246666,0.016507776,0.0003,0.0035946271593275013,-0.18889772365801036
,,,0.26415906,34816,"discrete",2,4.99,318,63488,,12,0.2,0.5794878304004669,0.069482421875,-0.014520590611209628,160,0.0025432787369936705,0.0094418,0.0003,0.0031456055610760815,-0.15729917415883393
,,,0.26138635,36864,"discrete",3,5.04,307,65536,,19,0.2,0.6535581350326538,0.042431640625,-0.004038305064023006,170,-0.005915028043091297,0.0027946203,0.0003,0.0023061877851432654,-0.13947536665946245
"Platform-v0","PPO-PPO",1,0.28633967,38912,"discrete",1,4.8,313,73728,6,6,0.2,0.6923529803752899,0.017529296875,-0.0029200665288954043,180,0.0010267726611346006,0.0011554966,0.0003,0.0022831531488918698,-0.12908760067075492
,,,0.27641386,40960,"discrete",2,4.73,297,75776,,13,0.2,0.7339723408222198,0.0326171875,-0.004487185928155668,190,-0.015021716244518757,0.0020661056,0.0003,0.001961467853470822,-0.11271588295930997
,,,0.28415368999999996,43008,"discrete",3,4.81,295,77824,,20,0.2,0.7579022496938705,0.014013671875,-0.0018780500322463922,200,0.010772379115223885,0.0011632106,0.0003,0.0019355389522388577,-0.09989322628825903
"Platform-v0","PPO-PPO",1,0.29606256,45056,"discrete",1,4.39,283,86016,7,7,0.2,0.7636308521032333,0.0228515625,-0.000594579876633361,210,-0.0011473031481727958,0.0028121592,0.0003,0.0018583488075819333,-0.1046206601546146
,,,0.286677,47104,"discrete",2,4.51,282,88064,,14,0.2,0.7693219929933548,0.036767578125,-0.003023102838778868,220,0.010083984583616257,0.0044659944,0.0003,0.0017472823485150002,-0.08792888193856925
,,,0.30375431,49152,"discrete",3,4.49,276,90112,,22,0.2,0.7710315138101578,0.0232421875,0.0006761159456800669,230,0.0005505260196514428,0.0017966923,0.0003,0.00185737835981854,-0.08940363667206838
