time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates
2,24576,4.04,0.16135460999999998,43008,"discrete",608,6,0.186474609375,0.3571591377258301,0.01196227,0.0023132984726544235,-0.06815279275178909,0.2,-0.3221560101956129,-0.03186306193238124,0.0003,110
3,26624,4.07,0.16415261999999997,45056,"discrete",580,10,0.20283203125,0.37068045139312744,0.009642974,0.003119261758911307,-0.041492760181427,0.2,-0.3186198976356536,-0.03304110523604322,0.0003,120
4,28672,4.78,0.20244008000000005,47104,"discrete",549,14,0.21357421875,0.3813672661781311,0.014302293,0.003491650584328454,-0.02416488155722618,0.2,-0.29778032037429514,-0.03601695336692501,0.0003,130
5,30720,5.01,0.21485209000000002,49152,"discrete",528,19,0.1978515625,0.387221097946167,0.020242412,0.004188465506740613,-0.01866377331316471,0.2,-0.24827967174351215,-0.033809407916851344,0.0003,140
1,32768,4.22,0.24756933,61440,"discrete",356,5,0.134716796875,0.46486127376556396,0.028552722,0.003851931150711607,-0.060460031032562256,0.2,-0.19717533625662326,-0.027207442912913393,0.0003,150
2,34816,4.47,0.27542674,63488,"discrete",338,12,0.08154296875,0.5271564424037933,0.013792365,0.0037595139488985295,-0.0394594706594944,0.2,-0.15553940765094013,-0.017271112810703926,0.0003,160
3,36864,4.59,0.2724874,65536,"discrete",331,18,0.038330078125,0.6491270363330841,0.0034724495,0.0028534904809930594,-0.0012574689462780952,0.2,-0.13029197102878243,-0.00926391941466136,0.0003,170
4,38912,4.59,0.28205339999999995,67584,"discrete",326,25,0.036865234375,0.6679369211196899,0.0024331673,0.002825397670312668,0.002610445488244295,0.2,-0.11724687122041359,-0.004303386893298011,0.0003,180
5,40960,4.51,0.26869629,69632,"discrete",319,32,0.021142578125,0.7415696978569031,0.0018618195,0.002142690167602268,0.06128162518143654,0.2,-0.11253633114974945,-0.002112150216998998,0.0003,190
1,43008,4.05,0.31226082,81920,"discrete",281,7,0.034765625,0.724329799413681,0.0033236605,0.002264443756575929,5.691777914762497e-05,0.2,-0.10375259214779362,-0.005005351619183784,0.0003,200
2,45056,4.08,0.31655662,83968,"discrete",276,14,0.017041015625,0.7786216884851456,0.0027693226,0.0018466863490175455,0.018255850300192833,0.2,-0.0564026637817733,-0.0005832267299410887,0.0003,210
3,47104,4.17,0.30964671000000005,86016,"discrete",277,22,0.0126953125,0.7872354686260223,0.0044904826,0.0017976081309825532,-0.0007950245635583997,0.2,-0.054527957405662165,0.002773805656761397,0.0003,220
4,49152,4.1,0.31688586999999996,88064,"discrete",268,30,0.02255859375,0.819812223315239,0.003707318,0.0015143815107876435,0.0024623277131468058,0.2,-0.06419706610613503,0.002415899086918216,0.0003,230
5,51200,4.1,0.31232313,90112,"discrete",271,37,0.01826171875,0.8200029730796814,0.0016867829,0.0015056398578963126,-0.0011718012392520905,0.2,-0.05956991483108141,0.0015178587040281855,0.0003,240
1,53248,4.0,0.3582813899999999,102400,"discrete",259,7,0.016259765625,0.791831374168396,0.0006415298,0.0017939466899406398,0.0076011791825294495,0.2,-0.06341757786576636,0.0004772620464791544,0.0003,250
2,55296,3.87,0.24805878,104448,"discrete",312,13,0.332666015625,0.9649248011410236,0.25396144,0.00021514023906661351,-0.06903388351202011,0.2,-0.21050716264144284,-0.04714180376759032,0.0003,260
3,57344,3.91,0.27871493999999997,106496,"discrete",320,19,0.280712890625,0.5844751596450806,0.0673431,0.004501074692961992,-0.05477750673890114,0.2,-0.23930594590492546,-0.046206312286085446,0.0003,270
4,59392,4.01,0.35415230999999997,108544,"discrete",302,27,0.268310546875,0.5740900933742523,0.46152073,0.00449722008270328,-0.04758661240339279,0.2,-0.04921547740814276,-0.05533918470609933,0.0003,280
5,61440,4.0,0.3551700199999999,110592,"discrete",292,35,0.01162109375,0.8914546594023705,0.0027600958,0.0008661323224714579,0.00865291990339756,0.2,-0.02545536452817032,-0.004834049786586548,0.0003,290
1,63488,3.96,0.34645638,122880,"discrete",290,7,0.08125,0.9656896218657494,0.02287821,0.0002777865740085872,-0.02365851029753685,0.2,-0.1384764460468432,0.00912227670487482,0.0003,300
2,65536,3.99,0.3651397,124928,"discrete",273,14,0.037646484375,0.7513458430767059,0.09542273,0.002610274401740753,-0.0006758960662409663,0.2,-0.0198780484526651,-0.023781716504890936,0.0003,310
3,67584,4.0,0.36840529000000005,126976,"discrete",268,22,0.00185546875,0.9652461744844913,0.0006179601,0.00028844488345498577,-0.00032853023731149733,0.2,-0.00545341705728788,-0.002640318170233513,0.0003,320
4,69632,4.0,0.36755071,129024,"discrete",266,30,0.000830078125,0.9876523995772004,0.00019299088,0.00011084486505694713,-0.02306305430829525,0.2,-0.0038135786104248836,-0.001120493515918497,0.0003,330
5,71680,3.99,0.34789703000000005,131072,"discrete",267,38,0.004833984375,0.9898076700046659,0.0046916446,9.193639055524728e-05,-0.0011240227613598108,0.2,-0.04466307703914936,-0.0020441481719899457,0.0003,340
1,73728,4.0,0.3662898200000001,143360,"discrete",269,7,0.04599609375,0.8503155261278152,0.15125722,0.001622271177257062,-0.01978377252817154,0.2,-0.004712994611327304,-0.02808694726554677,0.0003,350
2,75776,4.0,0.36618318,145408,"discrete",262,15,0.0,0.9582947976887226,2.6106136e-08,0.00039149311652977305,0.00021398992976173759,0.2,-0.0015897460230917203,-8.88527138158679e-06,0.0003,360
3,77824,4.0,0.37138796,147456,"discrete",263,23,0.00078125,0.9284137785434723,0.00024170667,0.0005649825460295688,0.0006727227009832859,0.2,-0.0010688510306863463,-0.0008418799272476463,0.0003,370
4,79872,4.0,0.36682168000000004,149504,"discrete",263,31,0.0,0.9594785794615746,0.0,0.00039426415023910975,0.00018964338232763112,0.2,-0.0008727118523893296,-1.8696810002438725e-07,0.0003,380
5,81920,4.0,0.3711393600000001,151552,"discrete",261,39,0.0,0.9592626616358757,0.0,0.0003895235785961404,0.00010294628737028688,0.2,-0.0008224676490499405,-6.220278010005132e-07,0.0003,390
1,83968,4.0,0.37008442,163840,"discrete",274,7,0.0,0.9701070599257946,5.84987e-09,0.0002869661537687307,0.00035379480686970055,0.2,-0.0007664681443202426,-2.715630762395449e-06,0.0003,400
2,86016,4.0,0.37071926999999993,165888,"discrete",265,15,0.0,0.9518076069653034,5.005859e-09,0.0004451866665675652,0.00043776986422017217,0.2,-0.0008056994839535037,-1.6595931811025366e-06,0.0003,410
3,88064,4.0,0.37092334,167936,"discrete",262,23,0.0,0.9693346042186022,4.1618478e-09,0.00026143926977937324,0.00015285538393072784,0.2,-0.0006366911953591625,-3.327332524349913e-06,0.0003,420
4,90112,4.0,0.3661752700000001,169984,"discrete",259,31,0.0,0.9600449204444885,4.452886e-09,0.00039695843596518896,0.00012446714390534908,0.2,-0.0005896377653698437,-6.630139978369698e-07,0.0003,430
5,92160,4.0,0.36805603000000003,172032,"discrete",259,39,0.0,0.9543559662997723,0.0,0.0004325546533095803,9.031377703649923e-05,0.2,-0.0007637357243766019,-2.509066689526662e-07,0.0003,440
1,94208,3.98,0.36995813000000005,184320,"discrete",269,7,0.005078125,0.9557886868715286,0.0007501717,0.0003988217732597832,0.0001243556325789541,0.2,-0.0043178958781936675,-0.00032673859532224015,0.0003,450
2,96256,4.0,0.37172848000000003,186368,"discrete",266,15,0.009521484375,0.9296954199671745,0.009220578,0.0006497654346418358,0.0003435186517890543,0.2,-0.0008566249644445633,-0.003951883918125532,0.0003,460
3,98304,3.99,0.36829859000000004,188416,"discrete",263,23,0.0,0.9727784488350153,2.7986243e-07,0.00021643246270741656,-0.00040151167195290327,0.2,-0.0006857349904748844,-0.00031593878120474985,0.0003,470
4,100352,4.0,0.3684756099999999,190464,"discrete",262,31,0.000439453125,0.9543035589158535,0.0010252169,0.00042779506790964207,4.749055369757116e-05,0.2,-0.0003887665767933868,-0.0005593294652499025,0.0003,480
5,102400,4.0,0.37365448,192512,"discrete",261,39,0.0,0.9517505392432213,1.9790605e-09,0.0004562789929423161,0.0003024557954631746,0.2,-0.0002778236837912118,-6.321235559880733e-07,0.0003,490
1,104448,4.0,0.3709784200000001,204800,"discrete",241,8,0.0,0.9662951976060867,0.0,0.00031845566333430495,0.00013408491213340312,0.2,-0.0002572605942532391,-2.5348199415020647e-07,0.0003,500
2,106496,3.77,0.32976457,206848,"discrete",248,16,0.0025390625,0.9677806124091148,0.025313798,0.00031618626685911975,-0.02138097770512104,0.2,-0.0031471721467141835,-0.00024936182890087364,0.0003,510
3,108544,4.0,0.36873114,208896,"discrete",248,24,0.25146484375,0.5922478437423706,0.50607985,0.00432514820859069,-0.03838401287794113,0.2,-0.0018411086446121772,-0.042813527147518474,0.0003,520
