time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,42,0.33346450999999994,7,"Platform-v0","PPO-PPO",88064,4.72,277,1,"continuous",174080,0.008678869,0.088330078125,0.0003,-0.012384271249175072,0.2,0.8192434310913086,420,-3.4949045829474925,0.827790841460228,-0.00267054171563359,0.0011775858351029457
1,43,0.32352072,7,"Platform-v0","PPO-PPO",90112,4.62,274,1,"continuous",178176,0.0054558325,0.0513671875,0.0003,0.039936043322086334,0.2,0.8129255175590515,430,-3.486570369452238,0.8002524375915527,0.001611689417040907,0.0014836168595138588
1,44,0.32363846,7,"Platform-v0","PPO-PPO",92160,4.67,271,1,"continuous",182272,0.0076913256,0.121630859375,0.0003,-0.01522942166775465,0.2,0.8130000233650208,440,-3.475562681257725,0.7877246290445328,-0.002599017973989248,0.0015538718424068065
1,45,0.32820547000000005,7,"Platform-v0","PPO-PPO",94208,4.62,263,1,"continuous",186368,0.009622099,0.12451171875,0.0003,-0.012515073642134666,0.2,0.808281421661377,450,-3.461750777065754,0.7713490724563599,-0.0069386688068334475,0.001713593734348251
1,46,0.32457969,8,"Platform-v0","PPO-PPO",96256,4.47,245,1,"continuous",190464,0.0062153507,0.103076171875,0.0003,-0.014623093418776989,0.2,0.8063194751739502,460,-3.4382538713514803,0.8447667211294174,-0.003610141298850067,0.0011233481208364538
1,47,0.33763947,8,"Platform-v0","PPO-PPO",98304,4.47,249,1,"continuous",194560,0.009207686,0.12529296875,0.0003,-0.0028606029227375984,0.2,0.8013343214988708,470,-3.4235168516635897,0.8185662925243378,-0.006744621208054013,0.0013171110424082145
1,48,0.33253428,8,"Platform-v0","PPO-PPO",100352,4.59,247,1,"continuous",198656,0.006978773,0.09052734375,0.0003,-0.01676911860704422,0.2,0.8079466819763184,480,-3.423217690736055,0.8745269477367401,-0.0017463350523030385,0.0008374082188311149
1,49,0.33724534999999994,7,"Platform-v0","PPO-PPO",102400,4.41,256,1,"continuous",202752,0.008566473,0.083740234375,0.0003,0.01245910208672285,0.2,0.8043769001960754,490,-3.423797222971916,0.8455553203821182,-0.0011053895024815575,0.00113366717378085
1,50,0.33261424,8,"Platform-v0","PPO-PPO",104448,4.43,251,1,"continuous",206848,0.0073403865,0.082080078125,0.0003,-0.012403973378241062,0.2,0.8114020824432373,500,-3.430120053887367,0.85292948782444,-0.0022793407952121925,0.001061376059169561
1,51,0.32604983,7,"Platform-v0","PPO-PPO",106496,4.47,263,1,"continuous",210944,0.011074674,0.124609375,0.0003,0.008661491796374321,0.2,0.8148009181022644,510,-3.4465980775654317,0.8322261422872543,-0.002812448392796796,0.0013183723651309265
1,52,0.3360931299999999,7,"Platform-v0","PPO-PPO",108544,4.47,257,1,"continuous",215040,0.010334736,0.113427734375,0.0003,-0.0073777735233306885,0.2,0.8158560395240784,520,-3.4598860144615173,0.7946910560131073,-0.002958263998152688,0.0016720785637517111
1,53,0.32966735999999996,8,"Platform-v0","PPO-PPO",110592,4.28,241,1,"continuous",219136,0.010090109,0.092236328125,0.0003,-0.03882522135972977,0.2,0.8179192543029785,530,-3.470674443244934,0.8380391746759415,-0.0007338103503570891,0.0012301774649131404
1,54,0.33709055000000004,8,"Platform-v0","PPO-PPO",112640,4.32,246,1,"continuous",223232,0.008657787,0.114404296875,0.0003,-0.00953967496752739,0.2,0.8195846080780029,540,-3.4745018295943737,0.8834446296095848,-0.003027270652091829,0.0008298939869746391
1,55,0.33514549000000005,8,"Platform-v0","PPO-PPO",114688,4.32,241,1,"continuous",227328,0.010618374,0.117626953125,0.0003,0.008822156116366386,0.2,0.823540985584259,550,-3.4899390667676924,0.8747405111789703,-0.0019043003427213988,0.0009640168941587035
1,56,0.32779127,8,"Platform-v0","PPO-PPO",116736,4.18,244,1,"continuous",231424,0.008723167,0.106494140625,0.0003,-0.017342131584882736,0.2,0.8215735554695129,560,-3.4940151296555997,0.8775177448987961,-0.002343017581733875,0.0009117924064412364
1,57,0.34548750999999994,8,"Platform-v0","PPO-PPO",118784,4.24,235,1,"continuous",235520,0.011704999,0.172412109375,0.0003,0.005956809967756271,0.2,0.8219142556190491,570,-3.4890360556542874,0.8438024371862411,-0.008074277667037676,0.0013028095762820159
