custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
,,2.72,-7.484121940000001,59392,118784,,,5,"continuous",2,728,0.013962038,0.0003,0.4376187324523926,0.2,8.220967292785645,0.9416409730911255,17.0172526627779,280,-5.419760642945766,0.146533203125,-0.008517201646463945
,,2.59,-7.025368049999998,61440,120832,,,8,"continuous",3,732,0.0077576907,0.0003,0.23697471618652344,0.2,51.419776916503906,0.9421151280403137,65.14472025930881,290,-5.410812471807003,0.08037109375,-0.004272312011744361
10,"PPO-PPO",2.34,-8.09374989,63488,129024,1,"Goal-v0",2,"continuous",1,843,0.010106318,0.0003,0.23897218704223633,0.2,34.084739685058594,0.9382805824279785,67.97894467413425,300,-5.401536002755165,0.11552734375,-0.006141758605372161
,,2.68,-9.028277749999999,65536,131072,,,5,"continuous",2,788,0.0106450245,0.0003,0.3278747797012329,0.2,5.927027225494385,0.9339898228645325,40.654325826466085,310,-5.385181148350239,0.11611328125,-0.01193836635502521
,,2.76,-9.090881490000001,67584,133120,,,7,"continuous",3,769,0.011980203,0.0003,0.2548965811729431,0.2,18.356273651123047,0.929614782333374,56.85756712555885,320,-5.365338757634163,0.155419921875,-0.0048122182153747415
11,"PPO-PPO",2.45,-8.48881967,69632,141312,1,"Goal-v0",2,"continuous",1,802,0.01058168,0.0003,0.310772180557251,0.2,8.720200538635254,0.9197707772254944,43.43942976295948,330,-5.327179023623467,0.120654296875,-0.006504968051740434
,,2.21,-7.458644559999999,71680,143360,,,5,"continuous",2,751,0.009271391,0.0003,0.29329371452331543,0.2,7.0151801109313965,0.9143497347831726,42.98864233195782,340,-5.296960239112377,0.132763671875,-0.005311750392866088
,,2.19,-7.50682087,73728,145408,,,8,"continuous",3,720,0.013909362,0.0003,0.23730015754699707,0.2,29.568897247314453,0.9115490317344666,66.90938090980053,350,-5.273487378656864,0.136279296875,-0.00625877858401509
12,"PPO-PPO",2.19,-6.897836870000001,75776,153600,1,"Goal-v0",2,"continuous",1,788,0.009438054,0.0003,0.23139846324920654,0.2,50.589988708496094,0.903152346611023,73.50805870890618,360,-5.247849605977535,0.07412109375,-0.0018962991940497886
,,2.3,-6.998763049999999,77824,155648,,,5,"continuous",2,754,0.010236879,0.0003,0.2064145803451538,0.2,85.1468734741211,0.897811233997345,102.84512523114681,370,-5.210675303637982,0.11240234375,-0.007169762631201592
,,2.57,-8.701628809999999,79872,157696,,,8,"continuous",3,724,0.013591892,0.0003,0.1896952986717224,0.2,43.11435317993164,0.8928087949752808,87.94208168089389,380,-5.189072279632091,0.167822265625,-0.007459386676782742
13,"PPO-PPO",2.77,-8.897030869999998,81920,165888,1,"Goal-v0",2,"continuous",1,790,0.012613855,0.0003,0.2489699125289917,0.2,6.856282711029053,0.8942023515701294,75.63782342672349,390,-5.1797413811087605,0.15966796875,-0.009509764257563802
