custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.28562847999999996,38912,"continuous",1,4.72,302,79872,6,6,0.2,0.9317947030067444,0.7376656532287598,0.111767578125,-0.010260135802673176,180,-0.006791168358176947,0.008536704,0.0003,0.0020490979582973522,-4.034558919072151
,,,0.28752054,40960,"continuous",2,4.58,291,81920,,14,0.2,0.9288075566291809,0.7775557339191437,0.09951171875,-0.008674288104521111,190,-0.004514338448643684,0.007453619,0.0003,0.0015986573078407673,-4.032579191029072
,,,0.28881122,43008,"continuous",3,4.4,287,83968,,21,0.2,0.9209365844726562,0.7816650122404099,0.1150390625,-0.00851515703179757,200,-0.005002290476113558,0.009926388,0.0003,0.0016458508209325374,-4.013591399788856
"Platform-v0","PPO-PPO",1,0.30091681000000003,45056,"continuous",1,4.49,276,92160,7,7,0.2,0.9141428470611572,0.7927822023630142,0.093896484375,-0.005544233492400963,210,-0.013129462487995625,0.010359986,0.0003,0.0015612361716193846,-3.9884274609386923
,,,0.28873047999999996,47104,"continuous",2,4.28,275,94208,,14,0.2,0.9007253646850586,0.7571286857128143,0.09775390625,-0.006693708094826434,220,-0.005123751703649759,0.009934272,0.0003,0.0019397229982132558,-3.955800851434469
,,,0.30168125,49152,"continuous",3,4.31,265,96256,,23,0.2,0.8941026329994202,0.7674548327922821,0.1404296875,-0.014689453727623914,230,-0.013520046137273312,0.0116545595,0.0003,0.0018595198263938074,-3.920797596126795
"Platform-v0","PPO-PPO",1,0.31827208999999995,51200,"continuous",1,4.28,241,104448,8,8,0.2,0.8833654522895813,0.7968822419643402,0.140869140625,-0.01195940953475656,240,0.0002444704296067357,0.0115059735,0.0003,0.001641201203710807,-3.89135130494833
,,,0.31335701,53248,"continuous",2,4.16,242,106496,,16,0.2,0.8834781646728516,0.8295037299394608,0.151708984375,-0.01878715206257766,250,0.0008844457333907485,0.011056133,0.0003,0.0014024441377841867,-3.874128483235836
,,,0.3233899599999999,55296,"continuous",3,4.15,246,108544,,24,0.2,0.8789300918579102,0.8059934675693512,0.166943359375,-0.02146744361234596,260,-0.009414538741111755,0.014924902,0.0003,0.0015868439681071323,-3.862808717787266
"Platform-v0","PPO-PPO",1,0.33132508999999993,57344,"continuous",1,4.17,263,116736,9,7,0.2,0.8684870600700378,0.8397974669933319,0.17158203125,-0.02233244717208436,270,-0.019650913774967194,0.013292937,0.0003,0.0012545761233923257,-3.8299021773040294
,,,0.33619563999999996,59392,"continuous",2,4.11,254,118784,,16,0.2,0.8662663102149963,0.8621604740619659,0.1802734375,-0.022130489331902935,280,-0.052558690309524536,0.013732397,0.0003,0.0011384835430362727,-3.8073379419744016
,,,0.34129627000000007,61440,"continuous",3,4.05,249,120832,,24,0.2,0.8553452491760254,0.8981035575270653,0.184423828125,-0.025479744026961272,290,-0.034441959112882614,0.0144435065,0.0003,0.0008311418397170201,-3.7789852425456045
"Platform-v0","PPO-PPO",1,0.3383131099999999,63488,"continuous",1,4.04,255,129024,10,8,0.2,0.8504875302314758,0.9227038249373436,0.219140625,-0.02880659849033691,300,-0.02162707783281803,0.016511744,0.0003,0.0006546815758611046,-3.743187665939331
,,,0.34605789000000003,65536,"continuous",2,4.03,254,131072,,16,0.2,0.84477299451828,0.8722556680440903,0.18203125,-0.018581818576785737,310,-0.04918912798166275,0.013127012,0.0003,0.0012137585288655827,-3.7194246239960194
,,,0.35295910999999996,67584,"continuous",3,4.03,252,133120,,24,0.2,0.8358988761901855,0.8706868439912796,0.1955078125,-0.01660699381318409,320,-0.022195300087332726,0.0153365815,0.0003,0.001168510971183423,-3.689777472615242
"Platform-v0","PPO-PPO",1,0.3529972599999999,69632,"continuous",1,4.01,255,141312,11,8,0.2,0.8252406120300293,0.8964381068944931,0.220166015625,-0.019689704474876633,330,-0.002289770171046257,0.01628568,0.0003,0.0009234861908680614,-3.645601545274258
,,,0.36171162,71680,"continuous",2,4.01,246,143360,,16,0.2,0.8256879448890686,0.9189558327198029,0.243798828125,-0.014193885819986462,340,0.013231748715043068,0.02748458,0.0003,0.0007766198962258386,-3.629112981259823
,,,0.36107239999999996,73728,"continuous",3,3.99,245,145408,,24,0.2,0.8233312964439392,0.9698381591588259,0.227392578125,-0.01822304678935325,350,-0.041711751371622086,0.017088767,0.0003,0.00023130876756738417,-3.628134998679161
"Platform-v0","PPO-PPO",1,0.36779578,75776,"continuous",1,4.0,245,153600,12,8,0.2,0.822591245174408,0.9623448215425014,0.333447265625,-0.03053525840077782,360,-0.014136252924799919,0.035975613,0.0003,0.0003713374062300545,-3.6230548210442066
,,,0.36678024,77824,"continuous",2,3.99,247,155648,,16,0.2,0.8269507884979248,0.9931643223389983,0.32158203125,-0.035506605796399526,370,-0.019982488825917244,0.0387351,0.0003,6.114861328967435e-05,-3.629017575830221
,,,0.36916351,79872,"continuous",3,4.0,243,157696,,25,0.2,0.8286197781562805,0.9842813592404127,0.29482421875,-0.03468149556283606,380,-0.04197320342063904,0.02158134,0.0003,0.0001498312504239152,-3.6287762500345706
"Platform-v0","PPO-PPO",1,0.37090421,81920,"continuous",1,4.0,255,165888,13,8,0.2,0.823101282119751,0.9842079393565655,0.249755859375,-0.012883077187871095,390,-0.020556870847940445,0.017107345,0.0003,0.00015536424496929158,-3.6108715549111365
,,,0.36928011,83968,"continuous",2,4.0,250,167936,,16,0.2,0.8272778391838074,0.9796221032738686,0.237939453125,-0.004241417428420391,400,-0.04513215273618698,0.020270031,0.0003,0.00021287699078555988,-3.603493531793356
